transaction_id,product,category,quantity,unit_price,discount,total,transaction_date,transaction_time,region,store_id,customer_id,payment_method,is_online
30,Bookshelf,Furniture,5,232.83,0.23,896.4,2024-12-09,23:31:52,South,30,1857,PayPal,False
31,Headphones,Electronics,5,218.95,0.0,1094.75,2024-08-23,23:31:52,South,19,360,PayPal,True
32,Bed Frame,Furniture,4,320.14,0.0,1280.56,2024-01-07,00:00:00,South,5,2717,Google Pay,True
33,Bed Frame,Furniture,4,483.11,0.26,1430.01,2025-05-02,23:31:52,West,33,2539,Google Pay,True
34,T-shirt,Clothing,4,49.85,0.0,199.4,2024-06-12,00:00:00,West,28,273,Google Pay,True
35,Monitor,Electronics,1,686.99,0.0,686.99,2024-09-04,23:31:52,North,5,3309,Apple Pay,False
36,Coffee Maker,Appliances,5,49.53,0.13,215.46,2024-07-31,00:00:00,South,28,632,Google Pay,False
37,Mouse,Electronics,4,115.11,0.0,460.44,2024-12-16,23:31:52,South,36,2591,Credit Card,True
38,Jacket,Clothing,3,108.05,0.17,269.04,2024-08-18,23:31:52,East,28,1305,Credit Card,False
39,Shoes,Clothing,3,135.65,0.0,406.95,2024-08-06,23:31:52,East,11,4548,Credit Card,False
40,Laptop,Electronics,2,1620.95,0.0,3241.9,2025-02-25,23:31:52,North,18,1816,Debit Card,True
41,Desk,Furniture,3,279.39,0.0,838.17,2022-07-27,00:00:00,South,17,4351,Debit Card,False
42,Bed Frame,Furniture,4,668.39,0.12,2352.73,2024-10-03,23:31:52,West,28,2752,Cash,True
43,Bookshelf,Furniture,4,328.15,0.0,1312.6,2020-05-31,00:00:00,East,25,3674,Debit Card,True
44,Toaster,Appliances,4,74.0,0.0,296.0,2022-08-28,00:00:00,North,30,1778,Apple Pay,False
45,Keyboard,Electronics,4,79.48,0.05,302.02,2025-04-17,23:31:52,North,50,2313,Apple Pay,True
46,Sofa,Furniture,1,1781.67,0.0,1781.67,2024-06-12,23:31:52,South,34,3862,PayPal,False
47,Sweater,Clothing,1,52.6,0.0,52.6,2024-08-31,23:31:52,West,19,1151,Credit Card,True
48,Coffee Maker,Appliances,3,101.78,0.0,305.34,2024-10-30,23:31:52,East,2,1622,Debit Card,True
49,Jacket,Clothing,5,78.88,0.0,394.4,2024-06-18,23:31:52,North,1,2442,Debit Card,True
50,T-shirt,Clothing,1,15.72,0.07,14.62,2024-08-24,23:31:52,South,13,2045,Apple Pay,True
51,Bookshelf,Furniture,5,216.27,0.0,1081.35,2024-11-19,23:31:52,South,14,1519,Debit Card,True
52,Jacket,Clothing,4,233.91,0.0,935.64,2022-07-09,00:00:00,West,27,3300,Google Pay,True
53,Bed Frame,Furniture,1,1403.08,0.21,1108.43,2025-05-11,23:31:52,North,19,4004,Cash,True
54,Tablet,Electronics,3,413.7,0.16,1042.52,2024-10-15,23:31:52,West,3,4439,Google Pay,True
55,Bed Frame,Furniture,3,533.05,0.0,1599.15,2024-08-06,23:31:52,East,44,2737,PayPal,True
56,Sofa,Furniture,4,1183.03,0.27,3454.45,2025-02-06,23:31:52,North,33,2621,Apple Pay,True
57,Shoes,Clothing,5,86.78,0.27,316.75,2024-12-15,23:31:52,West,35,1342,Google Pay,True
58,Coffee Maker,Appliances,5,55.54,0.23,213.83,2024-05-09,00:00:00,East,50,4125,Google Pay,True
59,Coffee Maker,Appliances,1,79.77,0.0,79.77,2024-05-28,23:31:52,South,25,4938,Debit Card,True
60,Sofa,Furniture,4,1876.01,0.0,7504.04,2025-01-17,23:31:52,North,14,4400,Debit Card,False
61,Monitor,Electronics,5,262.22,0.0,1311.1,2024-10-05,23:31:52,North,2,1980,Cash,False
62,Jacket,Clothing,3,105.32,0.11,281.2,2025-03-04,23:31:52,North,25,1925,Cash,False
63,Desk,Furniture,5,221.91,0.13,965.31,2024-08-04,23:31:52,West,27,1237,Apple Pay,False
64,Shoes,Clothing,4,41.98,0.0,167.92,2025-03-06,23:31:52,South,15,1585,Cash,True
65,Coffee Maker,Appliances,5,281.98,0.0,1409.9,2024-08-17,23:31:52,West,28,506,Apple Pay,False
66,Jacket,Clothing,3,179.46,0.0,538.38,2021-03-21,00:00:00,North,37,4155,Debit Card,False
67,Coffee Maker,Appliances,4,95.08,0.0,380.32,2025-02-07,23:31:52,West,21,1161,Debit Card,True
68,T-shirt,Clothing,1,41.27,0.03,40.03,2025-03-27,23:31:52,North,50,4529,Debit Card,False
69,Monitor,Electronics,5,171.7,0.0,858.5,2024-11-08,23:31:52,West,6,3383,Credit Card,True
70,Sweater,Clothing,5,39.23,0.15,166.73,2024-09-21,23:31:52,East,6,2917,Debit Card,True
71,T-shirt,Clothing,2,18.74,0.23,28.86,2021-03-07,00:00:00,West,50,4538,Debit Card,True
72,Bed Frame,Furniture,2,676.94,0.14,1164.34,2025-03-19,23:31:52,North,31,4297,Credit Card,True
73,Toaster,Appliances,3,46.64,0.0,139.92,2024-08-13,23:31:52,South,49,767,Cash,False
74,Jacket,Clothing,1,183.91,0.0,183.91,2024-06-11,23:31:52,North,42,4731,PayPal,True
75,Monitor,Electronics,5,586.45,0.0,2932.25,2024-11-23,23:31:52,North,41,280,Credit Card,True
76,Blender,Appliances,1,148.22,0.0,148.22,2024-08-19,23:31:52,West,2,4179,Apple Pay,False
77,Chair,Furniture,1,418.22,0.0,418.22,2024-12-30,23:31:52,East,13,3114,Google Pay,True
78,Shoes,Clothing,4,106.3,0.07,395.44,2024-12-03,23:31:52,North,20,2180,PayPal,False
79,Bed Frame,Furniture,1,386.24,0.0,386.24,2024-11-09,23:31:52,East,2,2173,Apple Pay,False
80,Desk,Furniture,4,252.93,0.0,1011.72,2025-02-13,23:31:52,South,6,1767,Debit Card,False
81,Bed Frame,Furniture,5,1166.43,0.0,5832.15,2021-03-07,00:00:00,East,27,1571,Cash,True
82,Smartphone,Electronics,2,1061.48,0.29,1507.3,2022-09-07,00:00:00,South,35,4012,Cash,True
83,Laptop,Electronics,1,830.5,0.0,830.5,2025-05-07,23:31:52,South,39,609,Apple Pay,True
84,Tablet,Electronics,2,779.29,0.09,1418.31,2024-06-17,23:31:52,West,47,484,Google Pay,False
85,Bookshelf,Furniture,5,193.54,0.0,967.7,2024-10-17,23:31:52,East,2,4459,Apple Pay,False
86,Desk,Furniture,1,538.52,0.16,452.36,2024-10-09,23:31:52,North,16,3878,PayPal,True
87,Monitor,Electronics,4,481.64,0.0,1926.56,2025-02-16,23:31:52,South,3,3394,PayPal,True
88,Sweater,Clothing,2,60.12,0.0,120.24,2020-05-30,00:00:00,West,2,2381,PayPal,True
89,Chair,Furniture,2,227.71,0.0,455.42,2025-01-30,23:31:52,East,5,1878,Apple Pay,True
90,Bed Frame,Furniture,2,639.89,0.04,1228.59,2025-04-06,23:31:52,West,18,2012,Google Pay,False
91,Smartphone,Electronics,5,581.59,0.13,2529.92,2024-10-07,23:31:52,North,4,3780,Cash,True
92,Smartphone,Electronics,2,466.58,0.25,699.87,2024-07-09,23:31:52,East,34,3181,Google Pay,True
93,Sweater,Clothing,5,108.63,0.3,380.2,2024-11-29,23:31:52,East,3,2925,Apple Pay,True
94,Smartphone,Electronics,2,547.35,0.0,1094.7,2024-11-10,23:31:52,East,28,4101,Apple Pay,True
95,Shoes,Clothing,1,103.54,0.0,103.54,2024-04-30,00:00:00,South,7,2864,Cash,True
96,Laptop,Electronics,2,1299.57,0.0,2599.14,2024-12-25,23:31:52,North,25,2292,PayPal,True
97,Bed Frame,Furniture,2,320.47,0.0,640.94,2024-11-28,23:31:52,West,12,4877,Apple Pay,True
98,Jeans,Clothing,2,91.15,0.17,151.31,2021-09-14,00:00:00,North,43,4142,Apple Pay,False
99,Jeans,Clothing,3,89.58,0.1,241.87,2024-12-31,23:31:52,North,6,4070,Debit Card,False
100,Tablet,Electronics,4,504.73,0.0,2018.92,2023-12-05,00:00:00,North,24,4815,Google Pay,False
101,Laptop,Electronics,1,1815.06,0.0,1815.06,2024-02-23,00:00:00,East,41,2568,Credit Card,True
102,Headphones,Electronics,3,304.46,0.0,913.38,2024-05-20,23:31:52,East,43,4369,Google Pay,False
103,Headphones,Electronics,4,287.76,0.0,1151.04,2021-11-15,00:00:00,East,22,1743,Apple Pay,True
104,Bookshelf,Furniture,5,381.65,0.0,1908.25,2024-06-11,23:31:52,North,17,4222,PayPal,False
105,Sofa,Furniture,1,1950.0,0.0,1950.0,2024-08-11,23:31:52,East,27,3597,Cash,True
106,Chair,Furniture,4,436.6,0.0,1746.4,2024-08-11,23:31:52,North,37,2485,Google Pay,True
107,Laptop,Electronics,4,2303.63,0.0,9214.52,2025-05-15,23:31:52,North,38,2490,Apple Pay,False
108,Jeans,Clothing,5,59.35,0.0,296.75,2024-09-28,23:31:52,East,36,2765,PayPal,True
109,Bookshelf,Furniture,4,264.17,0.02,1035.55,2024-11-22,23:31:52,North,31,2264,Google Pay,True
110,T-shirt,Clothing,3,15.32,0.0,45.96,2022-07-23,00:00:00,East,27,4945,Debit Card,True
111,Keyboard,Electronics,3,23.01,0.0,69.03,2024-10-22,23:31:52,East,1,2940,Cash,True
112,Chair,Furniture,5,164.93,0.29,585.5,2022-12-06,00:00:00,East,16,3489,Cash,True
113,Jeans,Clothing,5,90.29,0.0,451.45,2025-03-21,23:31:52,East,44,3406,Cash,False
114,Toaster,Appliances,1,24.33,0.0,24.33,2024-06-02,23:31:52,West,8,13,PayPal,True
115,Jacket,Clothing,4,175.61,0.0,702.44,2024-06-29,23:31:52,North,21,1314,Credit Card,True
116,Monitor,Electronics,5,465.85,0.03,2259.37,2022-07-01,00:00:00,South,29,3958,Credit Card,True
117,Monitor,Electronics,2,327.58,0.0,655.16,2025-04-11,23:31:52,North,33,1174,Debit Card,True
118,Bed Frame,Furniture,2,611.51,0.2,978.42,2025-05-12,23:31:52,West,46,3917,Cash,True
119,Laptop,Electronics,4,1826.44,0.0,7305.76,2021-11-25,00:00:00,South,10,2370,PayPal,True
120,Sweater,Clothing,1,78.02,0.0,78.02,2024-05-31,23:31:52,South,38,2683,Credit Card,True
121,Sweater,Clothing,5,26.21,0.0,131.05,2024-08-02,23:31:52,South,39,4127,Google Pay,True
122,Smartphone,Electronics,5,1162.76,0.27,4244.07,2023-07-16,00:00:00,South,3,2287,Cash,False
123,T-shirt,Clothing,4,46.52,0.0,186.08,2025-03-12,23:31:52,South,24,953,Google Pay,True
124,Chair,Furniture,3,369.21,0.0,1107.63,2024-06-16,23:31:52,West,5,556,Credit Card,False
125,Blender,Appliances,5,174.32,0.0,871.6,2024-10-23,23:31:52,North,49,2019,Apple Pay,True
126,Jeans,Clothing,1,30.92,0.21,24.43,2020-06-24,00:00:00,East,20,1358,Credit Card,True
127,Keyboard,Electronics,1,132.62,0.0,132.62,2025-02-12,23:31:52,West,9,4358,Debit Card,True
128,Laptop,Electronics,1,1049.43,0.0,1049.43,2025-01-09,23:31:52,South,37,3370,Credit Card,True
129,Sweater,Clothing,1,103.55,0.0,103.55,2024-11-12,23:31:52,West,23,2772,Apple Pay,False
130,Jacket,Clothing,5,116.74,0.0,583.7,2024-11-12,23:31:52,East,29,2239,Google Pay,True
131,Coffee Maker,Appliances,1,218.1,0.02,213.74,2025-01-19,23:31:52,South,50,1271,Google Pay,False
132,Mouse,Electronics,4,131.17,0.16,440.73,2025-04-23,00:00:00,North,14,1878,Credit Card,False
133,Tablet,Electronics,1,328.47,0.23,252.92,2023-11-28,00:00:00,West,2,3182,Debit Card,True
134,Sofa,Furniture,2,1909.66,0.14,3284.62,2023-12-29,00:00:00,North,7,773,Debit Card,True
135,Smartphone,Electronics,5,1070.86,0.0,5354.3,2024-10-06,23:31:52,North,50,3843,Apple Pay,False
136,Monitor,Electronics,1,541.42,0.26,400.65,2024-06-16,23:31:52,North,39,2456,Debit Card,False
137,Bed Frame,Furniture,3,244.78,0.0,734.34,2024-09-25,23:31:52,West,11,2847,Apple Pay,False
138,Bed Frame,Furniture,4,1425.43,0.0,5701.72,2024-06-25,23:31:52,South,15,644,Debit Card,False
139,T-shirt,Clothing,2,20.48,0.0,40.96,2025-03-13,23:31:52,East,1,1632,Apple Pay,True
140,Jeans,Clothing,4,50.24,0.0,200.96,2024-10-15,23:31:52,East,39,876,Google Pay,False
141,Mouse,Electronics,1,42.8,0.0,42.8,2024-12-28,23:31:52,South,8,1372,Apple Pay,False
142,Jacket,Clothing,1,184.38,0.0,184.38,2024-01-23,00:00:00,South,17,1280,Credit Card,False
143,Bed Frame,Furniture,3,1276.47,0.08,3523.06,2025-05-01,23:31:52,North,25,2820,Debit Card,False
144,Desk,Furniture,1,323.61,0.0,323.61,2022-08-24,00:00:00,North,44,4343,Apple Pay,True
145,Sweater,Clothing,4,34.28,0.18,112.44,2021-06-22,00:00:00,West,36,2828,Debit Card,False
146,Desk,Furniture,5,499.21,0.0,2496.05,2023-11-26,00:00:00,West,28,425,PayPal,True
147,Headphones,Electronics,4,178.4,0.15,606.56,2025-02-17,23:31:52,West,26,3044,PayPal,False
148,Desk,Furniture,1,423.31,0.12,372.51,2024-12-17,23:31:52,West,47,256,PayPal,False
149,Headphones,Electronics,1,266.47,0.14,229.16,2024-12-18,00:00:00,North,9,4456,Google Pay,False
150,Bookshelf,Furniture,1,352.43,0.0,352.43,2024-08-04,23:31:52,West,12,3207,Debit Card,True
151,Chair,Furniture,3,462.98,0.0,1388.94,2023-05-31,00:00:00,North,38,215,Credit Card,False
152,Bed Frame,Furniture,4,1223.01,0.0,4892.04,2021-08-04,00:00:00,South,33,3653,Cash,True
153,Shoes,Clothing,1,63.78,0.0,63.78,2025-01-20,23:31:52,East,48,1340,PayPal,False
154,T-shirt,Clothing,1,45.74,0.0,45.74,2024-08-28,23:31:52,North,27,2684,Credit Card,False
155,Bed Frame,Furniture,1,720.45,0.0,720.45,2025-01-26,23:31:52,South,20,780,Apple Pay,False
156,Desk,Furniture,1,612.09,0.0,612.09,2024-06-18,23:31:52,West,1,4833,Credit Card,True
157,T-shirt,Clothing,5,15.11,0.0,75.55,2020-11-10,00:00:00,West,12,498,Google Pay,False
158,Sweater,Clothing,2,69.43,0.0,138.86,2021-08-15,00:00:00,West,43,3416,Cash,True
159,Toaster,Appliances,3,52.51,0.0,157.53,2024-06-01,23:31:52,West,15,553,Cash,True
160,Tablet,Electronics,2,499.0,0.0,998.0,2024-11-08,23:31:52,East,48,283,Apple Pay,True
161,Toaster,Appliances,2,34.89,0.0,69.78,2022-02-27,00:00:00,North,33,1044,Debit Card,False
162,Jacket,Clothing,5,137.32,0.2,549.28,2025-01-17,23:31:52,East,36,2565,Credit Card,False
163,Monitor,Electronics,4,443.09,0.28,1276.1,2025-02-15,23:31:52,North,6,3073,Apple Pay,False
164,Headphones,Electronics,2,46.52,0.0,93.04,2025-03-24,23:31:52,East,25,1652,Credit Card,False
165,Sofa,Furniture,1,358.72,0.01,355.13,2024-08-19,23:31:52,South,19,480,Debit Card,False
166,Blender,Appliances,2,34.92,0.0,69.84,2025-02-17,23:31:52,North,39,4456,PayPal,True
167,Desk,Furniture,2,312.58,0.0,625.16,2025-04-01,00:00:00,East,34,423,Debit Card,False
168,Laptop,Electronics,3,1430.21,0.0,4290.63,2025-04-28,23:31:52,West,25,3438,Cash,False
169,Toaster,Appliances,2,55.52,0.11,98.83,2021-06-25,00:00:00,South,37,3942,Debit Card,False
170,Sofa,Furniture,5,309.32,0.0,1546.6,2024-08-21,23:31:52,South,35,2586,Debit Card,True
171,Desk,Furniture,5,203.03,0.0,1015.15,2024-07-10,23:31:52,West,32,1742,Debit Card,True
172,Coffee Maker,Appliances,3,278.41,0.0,835.23,2024-07-23,23:31:52,South,27,3271,Debit Card,False
173,Headphones,Electronics,2,234.16,0.0,468.32,2024-12-09,23:31:52,West,14,4679,Apple Pay,True
174,Headphones,Electronics,1,332.36,0.04,319.07,2024-06-12,23:31:52,South,10,184,Credit Card,False
175,Toaster,Appliances,4,98.35,0.27,287.18,2023-07-31,00:00:00,North,40,4271,Credit Card,True
176,Bookshelf,Furniture,4,80.85,0.0,323.4,2024-10-14,23:31:52,South,38,4993,PayPal,False
177,Keyboard,Electronics,3,23.11,0.0,69.33,2024-09-17,23:31:52,South,22,1484,Apple Pay,True
178,Monitor,Electronics,3,383.26,0.08,1057.8,2024-11-10,23:31:52,North,12,2706,PayPal,True
179,Sofa,Furniture,4,580.83,0.21,1835.42,2025-03-28,23:31:52,East,24,3774,Google Pay,True
180,Blender,Appliances,5,193.17,0.0,965.85,2025-02-12,23:31:52,North,48,4079,PayPal,False
181,Laptop,Electronics,1,2471.96,0.0,2471.96,2024-10-11,23:31:52,North,12,4673,Credit Card,True
182,Keyboard,Electronics,3,140.5,0.29,299.26,2024-11-27,23:31:52,South,32,3517,Apple Pay,True
183,Blender,Appliances,5,176.43,0.15,749.83,2021-08-30,00:00:00,West,11,3948,Debit Card,False
184,Tablet,Electronics,2,507.12,0.0,1014.24,2025-03-03,23:31:52,East,41,4388,Cash,True
185,Bookshelf,Furniture,2,328.87,0.0,657.74,2025-05-08,23:31:52,East,34,3094,Cash,False
186,Keyboard,Electronics,5,71.01,0.11,315.99,2025-03-31,23:31:52,North,29,4448,Cash,False
187,Sofa,Furniture,1,1560.64,0.08,1435.79,2024-08-24,23:31:52,East,18,1342,Apple Pay,False
188,Sweater,Clothing,4,84.27,0.0,337.08,2024-08-29,23:31:52,North,1,4863,Cash,True
189,Bed Frame,Furniture,3,368.99,0.0,1106.97,2022-04-29,00:00:00,South,15,392,Apple Pay,True
190,Mouse,Electronics,5,96.69,0.0,483.45,2024-10-23,23:31:52,West,37,2511,Debit Card,True
191,Smartphone,Electronics,5,999.35,0.13,4347.17,2020-01-28,00:00:00,West,23,48,Google Pay,True
192,Blender,Appliances,5,112.99,0.0,564.95,2024-09-03,23:31:52,West,35,2121,Cash,True
193,Toaster,Appliances,4,93.02,0.0,372.08,2024-10-28,23:31:52,North,13,279,PayPal,True
194,Sweater,Clothing,5,67.35,0.24,255.93,2020-04-09,00:00:00,North,33,3861,Credit Card,True
195,Bookshelf,Furniture,4,219.54,0.0,878.16,2024-07-25,23:31:52,East,46,4205,Cash,True
196,Laptop,Electronics,5,2009.8,0.0,10049.0,2023-01-04,00:00:00,East,30,557,Google Pay,False
197,Keyboard,Electronics,5,144.93,0.0,724.65,2025-01-10,23:31:52,North,34,2523,Cash,True
198,Sweater,Clothing,4,26.75,0.0,107.0,2024-09-21,00:00:00,West,17,4295,PayPal,True
199,Shoes,Clothing,1,154.4,0.0,154.4,2024-06-28,00:00:00,East,43,2218,Credit Card,True
200,Smartphone,Electronics,4,526.59,0.0,2106.36,2024-03-31,00:00:00,South,34,2050,PayPal,False
201,Jacket,Clothing,2,116.0,0.0,232.0,2024-03-11,00:00:00,North,18,4425,Credit Card,True
202,Jeans,Clothing,4,95.87,0.02,375.81,2021-08-01,00:00:00,West,34,2117,Apple Pay,False
203,Jacket,Clothing,5,92.09,0.01,455.85,2023-02-02,00:00:00,North,34,2974,Debit Card,False
204,Shoes,Clothing,2,50.53,0.05,96.01,2025-04-06,23:31:52,South,38,4479,Apple Pay,False
205,Desk,Furniture,2,504.54,0.1,908.17,2025-02-07,23:31:52,West,25,4911,Cash,True
206,Headphones,Electronics,1,85.69,0.0,85.69,2024-11-01,23:31:52,South,13,4996,Apple Pay,False
207,Monitor,Electronics,3,246.03,0.0,738.09,2025-02-15,23:31:52,West,21,2476,Google Pay,False
208,Shoes,Clothing,2,122.23,0.0,244.46,2025-01-12,00:00:00,South,41,4741,Debit Card,True
209,Smartphone,Electronics,2,832.93,0.12,1465.96,2025-05-10,23:31:52,North,29,3841,Google Pay,True
210,Mouse,Electronics,4,123.81,0.09,450.67,2025-05-07,23:31:52,South,50,1875,Debit Card,True
211,Bookshelf,Furniture,4,387.43,0.21,1224.28,2024-06-12,23:31:52,East,16,1297,Cash,True
212,Monitor,Electronics,2,313.62,0.0,627.24,2025-03-15,23:31:52,South,39,643,Credit Card,True
213,Jacket,Clothing,5,228.09,0.0,1140.45,2024-08-01,23:31:52,North,15,319,Apple Pay,False
214,Mouse,Electronics,4,25.63,0.14,88.17,2024-06-12,23:31:52,West,37,193,PayPal,True
215,Bookshelf,Furniture,1,308.15,0.27,224.95,2020-03-27,00:00:00,North,46,1217,Debit Card,False
216,Bed Frame,Furniture,2,394.64,0.0,789.28,2024-06-17,23:31:52,North,20,79,Credit Card,True
217,Headphones,Electronics,4,327.53,0.0,1310.12,2022-11-19,00:00:00,East,13,3851,Debit Card,False
218,Laptop,Electronics,5,2237.54,0.09,10180.81,2024-06-20,23:31:52,South,24,1524,Debit Card,False
219,Coffee Maker,Appliances,2,149.14,0.0,298.28,2024-10-18,23:31:52,East,29,3467,PayPal,True
220,Mouse,Electronics,5,31.61,0.0,158.05,2023-03-17,00:00:00,South,35,4190,PayPal,True
221,Mouse,Electronics,1,20.12,0.0,20.12,2021-07-08,00:00:00,North,19,3829,Debit Card,False
222,Tablet,Electronics,3,408.43,0.16,1029.24,2025-01-01,23:31:52,West,46,4653,Credit Card,True
223,Monitor,Electronics,4,594.93,0.0,2379.72,2024-06-13,23:31:52,West,36,2469,Apple Pay,True
224,T-shirt,Clothing,1,26.2,0.14,22.53,2024-08-05,23:31:52,North,11,3810,Google Pay,True
225,Shoes,Clothing,2,170.53,0.0,341.06,2024-11-24,23:31:52,West,48,229,PayPal,True
226,Chair,Furniture,1,171.16,0.0,171.16,2024-11-24,23:31:52,East,17,1994,Cash,True
227,Bookshelf,Furniture,5,384.65,0.15,1634.76,2024-09-29,23:31:52,West,13,672,Debit Card,False
228,T-shirt,Clothing,3,45.63,0.0,136.89,2022-01-19,00:00:00,South,25,895,PayPal,False
229,Jacket,Clothing,1,131.86,0.0,131.86,2024-12-24,23:31:52,West,41,4977,PayPal,True
230,Bookshelf,Furniture,1,220.67,0.15,187.57,2024-06-08,23:31:52,North,21,4236,Credit Card,True
231,Mouse,Electronics,4,149.68,0.0,598.72,2020-08-19,00:00:00,South,5,4719,Credit Card,False
232,Sweater,Clothing,5,87.47,0.0,437.35,2024-03-25,00:00:00,South,21,1459,Credit Card,False
233,T-shirt,Clothing,1,25.11,0.0,25.11,2024-07-13,23:31:52,North,15,1474,Google Pay,False
234,Shoes,Clothing,4,197.93,0.0,791.72,2024-08-05,23:31:52,North,20,3564,Apple Pay,True
235,Keyboard,Electronics,5,111.39,0.0,556.95,2022-10-18,00:00:00,West,48,2769,Cash,True
236,Mouse,Electronics,3,45.1,0.0,135.3,2024-10-27,23:31:52,West,47,2945,PayPal,False
237,Bed Frame,Furniture,3,401.34,0.23,927.1,2020-11-14,00:00:00,North,12,3130,PayPal,False
238,Tablet,Electronics,3,463.99,0.0,1391.97,2024-12-03,23:31:52,North,32,1484,Cash,False
239,Bed Frame,Furniture,4,686.46,0.0,2745.84,2022-05-22,00:00:00,East,11,208,Debit Card,True
240,Tablet,Electronics,1,474.75,0.0,474.75,2025-04-25,23:31:52,North,15,2089,Apple Pay,True
241,Jacket,Clothing,1,87.39,0.0,87.39,2025-01-19,23:31:52,South,10,925,Apple Pay,False
242,Monitor,Electronics,2,470.05,0.0,940.1,2024-06-30,00:00:00,West,33,4718,Credit Card,False
243,Desk,Furniture,5,328.57,0.0,1642.85,2024-11-10,00:00:00,West,49,860,PayPal,False
244,Shoes,Clothing,1,184.82,0.0,184.82,2024-09-09,23:31:52,West,42,1958,Debit Card,True
245,Tablet,Electronics,1,743.7,0.0,743.7,2025-02-02,23:31:52,West,48,296,Google Pay,True
246,Blender,Appliances,1,164.91,0.0,164.91,2025-01-02,23:31:52,West,33,1719,Debit Card,True
247,Jacket,Clothing,4,120.29,0.01,476.35,2023-01-16,00:00:00,North,16,4852,Google Pay,True
248,Chair,Furniture,5,472.96,0.0,2364.8,2025-03-04,23:31:52,North,32,1984,Cash,False
249,Desk,Furniture,4,554.5,0.12,1951.84,2024-10-08,23:31:52,South,18,3263,Cash,True
250,Chair,Furniture,1,227.32,0.22,177.31,2024-09-22,23:31:52,East,43,3564,Cash,True
251,Bed Frame,Furniture,3,1398.58,0.28,3020.93,2023-02-15,00:00:00,South,3,376,Cash,True
252,Toaster,Appliances,1,27.55,0.0,27.55,2024-07-30,00:00:00,East,26,2960,Cash,False
253,Sofa,Furniture,4,325.01,0.0,1300.04,2025-03-28,23:31:52,East,47,69,PayPal,False
254,Blender,Appliances,5,183.95,0.0,919.75,2025-03-09,23:31:52,East,10,3494,Debit Card,False
255,Bed Frame,Furniture,4,1348.98,0.12,4748.41,2025-05-11,23:31:52,East,41,4662,PayPal,True
